script,style,weight,family,subfamily,variant,format,file,source,source_folders,duplicate_count,sha256
03-Mixed,01-Sans-Modern,08-Black,IRANSansXFaNum,ExtraBlack D4,02-Static,01-TrueType,03-Mixed\01-Sans-Modern\08-Black\IRANSansXFaNum\02-Static\01-TrueType\IRANSansXFaNum-ExtraBlackD4.ttf,Iranfont\IranSansX Pro\IranSansX Pro\Dot4\Farsi numerals\IRANSansXFaNum-ExtraBlackD4.ttf,Iranfont,0,f5b19fb769d79a3753b11d1607164555b304a1f838cd75ad9ee58308b6c8e8e0
03-Mixed,06-General,03-Regular,Gandom,Regular,02-Static,03-WOFF,03-Mixed\06-General\03-Regular\Gandom\02-Static\03-WOFF\Gandom [v2].woff,+Unsorted\VIP FONT-@Apkclub\Categuries\Other\Gandom\fonts\Gandom.woff,+Unsorted,0,f5bcd7e3208a8f1f9309abbc63f1af9cd0957311f00379bd1e3b6fd1815f43cf
03-Mixed,06-General,05-SemiBold,Darab,DemiBold-tall,02-Static,04-WOFF2,03-Mixed\06-General\05-SemiBold\Darab\02-Static\04-WOFF2\Darab-DemiBold-tall.woff2,Iranfont\darab pro\Webfonts\woff2\Darab-DemiBold-tall.woff2,Iranfont,0,f5d3a4285e46d546ba91bfbd51a676aa187c87610376f18c854c017abc473343
01-Persian-Arabic,06-General,06-Bold,B Mitra,Bold,02-Static,01-TrueType,01-Persian-Arabic\06-General\06-Bold\B Mitra\02-Static\01-TrueType\BMitraBd [v3].ttf,384.Font.Farsi\BMitraBd.ttf,384.Font.Farsi,0,f5d546b6da9a544a20d88b2e0233b472e8448db21eea21d404adf39c85347700
03-Mixed,06-General,02-Light,Mikhak-DS2-FD,Mikhak-DS2-FD-Light,02-Static,01-TrueType,03-Mixed\06-General\02-Light\Mikhak-DS2-FD\02-Static\01-TrueType\Mikhak-DS2-FD-Light.ttf,Fonts\Mikhak\Mikhak-v3.1\Statics\Mikhak-DS2-FD-Light.ttf,Fonts,0,f5d5ad840b99476537b7bfb30e10351ae0e60d5d03b4f75b761888cc24310d81
03-Mixed,06-General,04-Medium,Rokh,Medium,02-Static,02-OpenType,03-Mixed\06-General\04-Medium\Rokh\02-Static\02-OpenType\Rokh-Medium.otf,Fonts\Rokh\Rokh Pro v1.0\Rokh family\Rokh-Medium.otf,Fonts | Iranfont | NEW,3,f5e403e5e43de3ba0d4a0bae6eb334e589c6508014c831409953133a634091fb
04-Latin,06-General,03-Regular,Young Vigor Swash,Regular,02-Static,01-TrueType,04-Latin\06-General\03-Regular\Young Vigor Swash\02-Static\01-TrueType\Young Vigor Swash.ttf,English\Young Vigor Swash.ttf,English,0,f5e9f0f667cc1023000093774384103a470ed7fea59ad91ed5caaea1784295b0
03-Mixed,06-General,05-SemiBold-Italic,dana-fanum,demibolditalic,02-Static,03-WOFF,03-Mixed\06-General\05-SemiBold-Italic\dana-fanum\02-Static\03-WOFF\dana-fanum-demibolditalic.woff,Fonts\Dana\Source v2.0\farsi numral\webfonts\fonts\woff\dana-fanum-demibolditalic.woff,Fonts | Iranfont,2,f5ebb434ee2378c2760491e45120f642a2762c3988b91f87fb0a3a147576c713
03-Mixed,06-General,03-Regular,jb funland,Regular,02-Static,02-OpenType,03-Mixed\06-General\03-Regular\jb funland\02-Static\02-OpenType\Funland.otf,+Unsorted\VIP FONT-@Apkclub\Categuries\IrFont.ir\Funland\fonts\Funland.otf,+Unsorted,0,f5f278e57a9610615baa432d406b8e6a845039dce2ce61ae89c76a7f62e48264
03-Mixed,06-General,02-Light,FarhangNoEn,ExtraLightSharp,02-Static,03-WOFF,03-Mixed\06-General\02-Light\FarhangNoEn\02-Static\03-WOFF\FarhangNoEn-ExtraLightSharp.woff,NEW\Farhang-@Mim_Font\NonEnglish\Webfonts\FarhangNoEn-ExtraLightSharp.woff,Fonts | NEW,1,f5f40fd4717f705df3df427522c8752c6e2c5585c36accc5d3ffb8927f724b5c
03-Mixed,06-General,03-Regular-Italic,DimaBarfItalic,Regular,02-Static,02-OpenType,03-Mixed\06-General\03-Regular-Italic\DimaBarfItalic\02-Static\02-OpenType\DimaBard italic.otf,+Unsorted\VIP FONT-@Apkclub\Categuries\Dima\DimaBard italic\fonts\DimaBard italic.otf,+Unsorted,0,f5f44fb8ae22db2f93ce05938da94ad08fa635d7ab0ef96b497790b373d3fac9
03-Mixed,06-General,08-Black,AriaWeb,Black,02-Static,04-WOFF2,03-Mixed\06-General\08-Black\AriaWeb\02-Static\04-WOFF2\AriaWeb-Black.woff2,Fonts\Aria\Source 2\Webfonts\woff2\AriaWeb-Black.woff2,Fonts | Iranfont,1,f5f84b6ebbdbccba48d15c4674d8d1adbc22b35b9e9bfdbd184054aeb1a37192
