family,file,source,sha256,duplicate_count
IRAN Rounded,IRAN Rounded\IRANRounded.ttf,+Unsorted\VIP FONT-@Apkclub\All font\IRANRounded.ttf,f894e2727075b02f9f52e4c5a601cd1b848dc500143b5a03ad8532a4c30cd441,1
On,On\OnNormal.ttf,_downloads\on\OnNormal.ttf,f897b6762a5a462254cdc61cd0bc048a894f4add1930c4088e62e9106a080b27,2
Dana,Dana\Dana-Heavy.ttf,Fonts\Dana\Source v3.2\Dana family\Dana-Heavy.ttf,f8a9aa798702984a933e3cfec0b3bb99220a186c6b7df13e8297c56a02107701,0
fonts,fonts\dana-demibold.woff,+Unsorted\VIP FONT-@Apkclub\Categuries\FontIran.com\dana-demibold\fonts\dana-demibold.woff,f8c0b258bd92a1ad9af7fe78014172d5ffb4f9175ab36b239f81269a26082635,0
duman,duman\Duman-Bold.woff,_downloads\duman\Duman-Bold.woff,f8c16d17242e1bb1750e85ac1664e21099b235deda6f64ee7faf77d151b45cdd,1
IRANSansMobileFaNum,IRANSansMobileFaNum\IRANSansMobile(FaNum)_Bold.ttf,_downloads\iransansmobilefanum\IRANSansMobile(FaNum)_Bold.ttf,f8c4ccf2c4d1133067517fe8ba9158e65b1080f92cea1e161da46886bd7f0b4d,4
Bobby Rough Soft,Bobby Rough Soft\Bobby Rough Soft.ttf,_downloads\Fonts-master\Bobby Rough Soft.ttf,f8cca3a8e623a63fa2172fb46181809912206067564ee0c1e161f02ba7ed5638,0
Pinar-FD,Pinar-FD\Pinar-FD-Regular.ttf,_downloads\pinar-fd\Pinar-FD-Regular.ttf,f8cf876fb3781fe5abc7c6d3da205ae3d5eb5e1c63251588230166a9daf87f5b,2
B Kamran,B Kamran\BKamrnBd [v2].ttf,500.Font.Collection\BKamrnBd.ttf,f8d187e12761df982cc8a3b92269212606dfa1deaea9f4c542541286c9e10f8d,0
iransansweb,iransansweb\IRANSansWeb.woff2,_downloads\iransansweb\IRANSansWeb.woff2,f8d61fa1ee0a23f68a0322d69d7c67263f9e0b3786015752b4daf5fb4f21bf9d,4
Oh Now!,Oh Now!\Oh Now.ttf,_downloads\Fonts-master\Oh Now.ttf,f8ddf835b8d7a11503c93d79ea8fac1ea4d9e4c22451749827716bff36f24a2d,0
Rokh,Rokh\Rokh-Bold.ttf,_downloads\rokh\Rokh-Bold.ttf,f8e3b7f359efdc762cb9731066a64faadb0f296f799b08c976b692003769725f,3
anjoman,anjoman\Anjoman-Medium.woff,_downloads\anjoman\Anjoman-Medium.woff,f8e48d7fd6da9044a72ae22e7005a68a4c07e882992b6fc38608de87c77afd93,2
woff2,woff2\Dibaj FA ExtraBold.woff2,+Unsorted\Dibaj\Dibaj\Web font\Non-English\woff2\Dibaj FA ExtraBold.woff2,f8ea67140bafa2395b6ebcda1db731ea17c9ddee791d1e72df93ba25e9f8179b,0
NPIKhabar,NPIKhabar\NPIKhabar.ttf,500.Font.Collection\NPIKhabar.ttf,f8ede318e4546a686524bd5c5777c04cb8e1726361f8596003ffe4f32f964ce1,0
B Roya,B Roya\BRoya [v2].ttf,500.Font.Collection\BRoya.ttf,f8ef080381bacabf1da3fe20e937cebb73b270bd1c6299e68e803de6406833ed,0
NPIHadi,NPIHadi\NPIHadi.ttf,500.Font.Collection\NPIHadi.ttf,f8f04d6f260a61b4683cf6964cd641be06ee9e88c7a1c3548a25d2dd0ba55872,0
Far.AridiKoufi,Far.AridiKoufi\کوفی.ttf,+Mixed Fonts\کوفی.ttf,f8f15e33d05a9562bf673585ed28f48a9e9d5a9c8902983f184f7fa6a4dec4de,0
