family,file,source,sha256,duplicate_count
kalamehweb-fanum,kalamehweb-fanum\KalamehWeb(FaNum)-ExtraBold.woff2,_downloads\kalamehweb-fanum\KalamehWeb(FaNum)-ExtraBold.woff2,00020b22d7f8a68a48b1d1f91d236536a562ad466b38663ac3305f3bc1c089db,2
fonts,fonts\DimaSangin.eot,+Unsorted\VIP FONT-@Apkclub\Categuries\Dima\DimaSangin\fonts\DimaSangin.eot,00060eb4be180bd55f5b2ecf821e7791e9c7be2fa8d0805f92173f9584a4ddb5,0
Reckless Wide XL-TRIAL,Reckless Wide XL-TRIAL\RecklessWideXL-TRIAL-SemiBoldItalic.otf,_downloads\reckless-font-family\RecklessWideXL-TRIAL-SemiBoldItalic.otf,000f05efa8bf6e11f3c0d5d87793105443e8d260e16ddfd57ec5e00cadcf32a0,0
Reckless Condensed S-TRIAL,Reckless Condensed S-TRIAL\RecklessCondensedS-TRIAL-ThinItalic.otf,_downloads\reckless-font-family\RecklessCondensedS-TRIAL-ThinItalic.otf,00225dedb4055de3ac4ffa55c358fb29e72b32b9d5bad9730829ab901a52454a,0
Binama,Binama\بی نما رونگر.otf,+Unsorted\VIP FONT-@Apkclub\VIP FONT\VIP FONT\برای دیدن ادامه فونت ها کلیک کنید\ما بقی فونت ها\بی نما رونگر.otf,0029c58be817b98e530d523f4fdb557db9c6d148706b563291b348583228b636,1
Esportica,Esportica\Esportica-Italic.otf,+Mixed Fonts\esportica ltalic\Esportica-Italic.otf,0031119a3e0433a8084406416b5531249c6325f548ee0a078f381b07b78ad026,0
Fonts-master,Fonts-master\semibold.woff2,_downloads\Fonts-master\semibold.woff2,0033a1a81b6f7137e4dd7f678c5b8d5b3d84d13e0163b27944477c695df5bc2b,0
Aria[NoEng],Aria[NoEng]\AriaNoEng-ExtraLight.otf,_downloads\aria-noeng\AriaNoEng-ExtraLight.otf,003929c1cf73859bab4e69c76def08e855e4a853f278ce974fc3724e54bdbb87,1
Webfont,Webfont\Potk Font.woff,NEW\Potk-@Mim_Font\Webfont\Potk Font.woff,005c2609dc0631afd6f9105fdcf471ea8f3148efcc1c12d2a54cbd4e2f8306f2,1
MRT_Fares Light,MRT_Fares Light\Fares Light_MRT.ttf,384.Font.Farsi\Fares Light_MRT.ttf,005c522f61114a5ca3a48fff7cbabc4985d6b2b304186c07fcc6a774c0a1cf37,0
MRT_Tail Mediom,MRT_Tail Mediom\Tail Mediom_MRT.ttf,384.Font.Farsi\Tail Mediom_MRT.ttf,005f7d290b9673e180ab208fb6f4259a96076a7d1fa2d75ff807b5678fed1e3f,0
?,_\Tajrid-UltraLight.ttf,_downloads\tajrid\Tajrid-UltraLight.ttf,007041469889368925049875848565da84cae639363e97050fa27e5263d5bbcf,1
Chosence Light,Chosence Light\Chosence Light.otf,+Mixed Fonts\Chosence\Chosence Light.otf,00787c0173964245fe789b17342e6938aeda21362aad3a03a548acce960760bc,0
IRANSemiBold,IRANSemiBold\IRAN_SemiBold.ttf,+Unsorted\IRAN_Family\IRAN Family Typeface\webfonts\fonts\ttf\IRAN_SemiBold.ttf,0084cfdc45ce3a942c2a476297a506cd97a8cce2b12df21b41352446cadc2acd,0
2  Koodak Outline,2  Koodak Outline\SKOODAKO.TTF,384.Font.Farsi\SKOODAKO.TTF,0084f640865432e1b4b6d68c2883f4c41f8306d6ecf9353e2e3f5ceb1050e712,0
MRT_AUres,MRT_AUres\AUres_MRT.ttf,384.Font.Farsi\AUres_MRT.ttf,008ee2c8af462bec712de37e92cd7b3519dd10bde6e24c1275ec11455d34de1b,0
AzarMehr,AzarMehr\400-AzarMehr-Regular.ttf,_downloads\azarmehr\400-AzarMehr-Regular.ttf,008f281491fb4a551d2d84aeacd1ad48c12c0ed78fb0d7b28421297baf487118,5
ariaweb-noeng,ariaweb-noeng\AriaWebNoEng-SemiBold.woff,_downloads\ariaweb-noeng\AriaWebNoEng-SemiBold.woff,009a17074441c248de66c7851344cb7cb780f7b881ec88b4508b17e917215a6b,1
Onvan-FD,Onvan-FD\Onvan-FD.ttf,_downloads\onvan-fd\Onvan-FD.ttf,00a3c9da8f60ce5e92146e586191c47008b1098c72a5c3eccb668fe54c30f887,2
fonts,fonts\IRANSans_Bold.woff,+Unsorted\VIP FONT-@Apkclub\Categuries\FontIran.com\IRANSans_Bold\fonts\IRANSans_Bold.woff,00a60ecacfac73c34b97465e1bfcf72f34779632891adb490abf64582c553fbf,0
woff,woff\IRANSansXNoEn-Heavy.woff,_downloads\IranSansX Pro\IranSansX Pro\NonEnglish\Webfont NonEn\woff\IRANSansXNoEn-Heavy.woff,00d6857a86614e999a58430337ec319bc3b553713353144897dfd8303b2d3000,0
DAMOON,DAMOON\DAMOON-Medium.otf,_downloads\damoon\DAMOON-Medium.otf,00e04d55209da821c51d0349fdeb99e69c8ed2f292c99f9b4323992e14e04187,1
IRANSansX,IRANSansX\IRANSansX-Bold.otf,_downloads\IranSansX Pro\IranSansX Pro\iransansX family\Otf fonts\IRANSansX-Bold.otf,00e63885b2bc233f375d9551766f8e63d642711e4c293a5a46d5a50b5f9bfe24,0
farhang,farhang\Farhang-Black.woff2,_downloads\farhang\Farhang-Black.woff2,00ee367dadf2d7c7e7be87c59049e8e64cb72b0140081df756b44f96d1a25ca8,4
Efesto Regular Italic,Efesto Regular Italic\EfestoRegularItalic-Italic otf.otf,_downloads\Fonts-master\EfestoRegularItalic-Italic otf.otf,00eea505ebda2919e98b06ce32982d927c5d54623cbe2fbb889611991cbcb1cb,1
Mj_Dalal,Mj_Dalal\Mj_Dalal.ttf,500.Font.Collection\Mj_Dalal.ttf,00f5dfd104e48ac88e99acf3e125c3517da9f9fe77caf7f26ad2f77e4704b2e1,0
pelak-noeng,pelak-noeng\PelakNoEng-SemiBold.woff2,_downloads\pelak-noeng\PelakNoEng-SemiBold.woff2,00fe0e0680d1556067581e5457e58b4dfb5af645d46d6d6ddb5f55112490b34d,1
Dana,Dana\Dana-Regular.ttf,Fonts\Dana\Source v2.0\Dana font family\Dana-Regular.ttf,00fe421280cf577b554ebf040dfd43a89ad7377a4f4e3c548580b15dae58a1c6,1
Aria[NoEng],Aria[NoEng]\AriaNoEng-Normal.ttf,_downloads\aria-noeng\AriaNoEng-Normal.ttf,010c6559db61eb337a3aebd20d1fae4de149f4701c894cb43aac3b972ed212d0,1
eot,eot\Noora Fa-En 01 ExtraLight.eot,Fonts\Noora\Noora Standard (Fa-En)\web font\eot\Noora Fa-En 01 ExtraLight.eot,011891379d2a8af62468bde538016def47a13bcee1bdaca9bdbb7e4c45f64050,0
Farhang,Farhang\Farhang-DemiBold.ttf,Fonts\FarhangPro\Source 4 v1.4\Farhang\Farhang-DemiBold.ttf,0119305938490e1fcca4a30ffeb8653e9f4a9e9625f43c50bf53df04e879a61a,0
Bidad,Bidad\Bidad-Bold.ttf,_downloads\bidad\Bidad-Bold.ttf,0141392b92f2c90ae88dff292b0845392a3d338b77cf6a24a85965615fb2560c,2
eot,eot\IRANSansWeb(NoEn)_UltraLight.eot,+Unsorted\IranSansX(Pro)\IranSansX(Pro)\Old version\IRANSans5.5 (No support)\Non_English\WebFonts\fonts\eot\IRANSansWeb(NoEn)_UltraLight.eot,014b3b3f12c2025861f5d8f9f638db84cbcc1a49191743e141df14794a9dd2e9,2
pinar-ds4-fd,pinar-ds4-fd\Pinar-DS4-FD-ExtraBold.woff2,_downloads\pinar-ds4-fd\Pinar-DS4-FD-ExtraBold.woff2,014f360caff05cccb23ac0bb59efbe567929f882238a6ba4a77c0d2ee1c1663a,2
fonts,fonts\Ray-Bold.eot,+Unsorted\VIP FONT-@Apkclub\Categuries\MaryamSoft.com\Ray-Bold\fonts\Ray-Bold.eot,014f8e1ced69e86b12426cc4f892709ae8f286aa6d11954a4147b57e8464eaa3,0
Pinar-DS4-FD,Pinar-DS4-FD\Pinar-DS4-FD-Light.ttf,_downloads\pinar-ds4-fd\Pinar-DS4-FD-Light.ttf,0151963e137c65a0f10746c545da76220fa90285cff6c28128113ef04f970ea7,2
woff2,woff2\Pinar-DS3-ExtraBold.woff2,Fonts\Pinar Pro\Statics\woff2\Pinar-DS3-ExtraBold.woff2,01605104ed1bb018d0bef67527e66fe4b326551572851077152d08d4058883d5,1
IPT Arabic Style,IPT Arabic Style\IArabics.ttf,500.Font.Collection\IArabics.ttf,016ae0e925110dd6d249f8c7ebb1755fa995ce19515bf9f8cc6842f70a503842,0
eot,eot\iranyekanwebblackfanum.eot,Fonts\IRAN Yekan Pro\Source 1 V3.0 Older\Farsi_numerals\WebFonts\fonts\eot\iranyekanwebblackfanum.eot,0170791b15b8c269092bdb1cc9eb9ccd53b60788e5a88ac7a32c723286c30a3e,2
DimaClassicMedium,DimaClassicMedium\DimaClassicMedium.woff,+Unsorted\VIP FONT-@Apkclub\Categuries\Dima\DimaClassicMedium\DimaClassicMedium.woff,0180bb2ccc37399e22b2124e9c3be387aea0ad36cef238e36cf1147078488614,0
anjoman-fanum,anjoman-fanum\Anjoman-FaNum-CondensedExtraBold.woff2,_downloads\anjoman-fanum\Anjoman-FaNum-CondensedExtraBold.woff2,018363c01ce48f4c3b8cab11bc0066b8e86337cf21a02f3fbeb041bd0d6cdca5,2
ariaweb-noeng,ariaweb-noeng\AriaWebNoEng-Black.woff2,_downloads\ariaweb-noeng\AriaWebNoEng-Black.woff2,018c51aff7b2803e5041d64ba58b67b34181823e4b84958689e818074693b97a,1
LeviReBrushed,LeviReBrushed\LeviRe.ttf,+Mixed Fonts\LeviRe.ttf,018f2ccf85d9de5d77ad5eaae4b357fc3f80bfb3cdf63a7975b8905df42286b0,0
MRT_Meem Medium,MRT_Meem Medium\Meem Medium_MRT.ttf,384.Font.Farsi\Meem Medium_MRT.ttf,0197bc2d254ff7b2089714ff484839157ede2b071d5019a454d740610828a80d,0
Anjoman,Anjoman\Anjoman-UltraBoldItalic.ttf,Fonts\Anjoman_Pro\01 - Anjoman Font Family\02- Italic\Anjoman-UltraBoldItalic.ttf,0199ba2b5f7f319135607895309423f9e2b9220e14dfdd6c72d7b26e891f755c,1
IRANSansXFaNum,IRANSansXFaNum\IRANSansXFaNum-ExtraBold.otf,_downloads\iransansxfanum\IRANSansXFaNum-ExtraBold.otf,019a3d2090c79a6a46c9a90b1ab9138e3a23f8a848d51ea897fbfbfab0d5ee55,2
MRT_Shafigh 2,MRT_Shafigh 2\Shafigh 2_MRT.ttf,384.Font.Farsi\Shafigh 2_MRT.ttf,019e7a3be68e3ca879a557c8df4fb7d7d7556afad9e2b717ebab377107540b8b,0
ariaweb-noeng,ariaweb-noeng\AriaWebNoEng-SemiBold.woff2,_downloads\ariaweb-noeng\AriaWebNoEng-SemiBold.woff2,01add605994347150084ca4ba2d29229a9d13d6bcad7194b6fb9ce988dc99200,1
fonts,fonts\Aviny2.eot,+Unsorted\VIP FONT-@Apkclub\Categuries\FontIran.com\Aviny2\fonts\Aviny2.eot,01b756e638b10a60fc95c10d09f96a7e04d44f0e79d5b4d771df46efc9090da3,0
B e s m e l l a h 1,B e s m e l l a h 1\Besmellah 1.ttf,+Unsorted\WorkSpace\BesmelahFont\BesmelahFont\Besmellah 1.ttf,01da42e6e28512ddf09a06caae3c24479dd8b08513eb0919b0f6e7f7cacb01b9,0
NPIClassAval,NPIClassAval\NPIClassAval.ttf,500.Font.Collection\NPIClassAval.ttf,01f62d1a9b7f574bde1057430ad807bbd1ca044ea33e22c2ff9754bf4d574a89,0
Vazeh App,Vazeh App\vazeh_bold.otf,_downloads\vazeh-app\vazeh_bold.otf,0209a1e6ca1fbcfc3470aace6d3fb42d56fd35988b618730c8efaa158fe0b64a,2
farhang,farhang\Farhang-Medium.woff,_downloads\farhang\Farhang-Medium.woff,021094733cff5f459716262c5438aaa4cca1049e94623200dd0c44c79eb31038,4
Dima Classic Bold,Dima Classic Bold\DimaClassic Bold.otf,+Unsorted\VIP FONT-@Apkclub\Categuries\Dima\DimaClassic Bold\fonts\DimaClassic Bold.otf,02146d4cfc74f003bd142d3711217db42e488e529211b340c39d5bded61637dd,0
DanaFaNum,DanaFaNum\DanaFaNum-DemiBold.ttf,_downloads\danafanum\DanaFaNum-DemiBold.ttf,022cea493b958ad9ddfa8071a111b22e1c00b44543e72dc5c5d96352f0e64b4b,1
TKT-touba,TKT-touba\TKT-Touba light.otf,_downloads\tkt-touba\TKT-Touba light.otf,022eb4815e7aad777073fb8a945482137b1376cbcb7a8acabd60afa7d7c22288,1
Webfonts,Webfonts\FarhangNoEn-DemiBoldSharp.woff,NEW\Farhang-@Mim_Font\NonEnglish\Webfonts\FarhangNoEn-DemiBoldSharp.woff,0235aa1d461628c9dff38a4d2a1a8bc325356ca9b4b15e94ca1593925529e9ad,1
Bidad-woff,Bidad-woff\Bidad-ExtraLight.woff,Fonts\Bidad v1.0\Bidad-woff\Bidad-ExtraLight.woff,02454c7df2059429887cd29427e4da7da44f2142893de75d7b20109e66474ad1,0
Dima Salam,Dima Salam\DimaSalam.otf,+Unsorted\VIP FONT-@Apkclub\Categuries\Dima\DimaSalam\fonts\DimaSalam.otf,02528d058c405fc13a5ab0c2d29bd61394920bd3d581a6d4f95b487acc566b8e,0
dana-fanum,dana-fanum\dana-fanum-demibold.woff2,_downloads\dana-fanum\dana-fanum-demibold.woff2,025377ee226269fbf4f3f2391cab007cae8b7db6749d3d3852cef0db5f4bcb97,2
anjoman-noen,anjoman-noen\Anjoman-NoEn-SemiBoldItalic.woff2,_downloads\anjoman-noen\Anjoman-NoEn-SemiBoldItalic.woff2,0253a5823712747a937eff02e4eaa5eceba48fd77da2f05e0e400f6980e31915,2
Dubai,Dubai\Dubai Regular @i_font (1).otf,+Mixed Fonts\family dubai\@i_font family dubai\Dubai Regular @i_font (1).otf,025504c5514f902ce95e39d1c765f8bc65561d89c46024ef20e3f5d59503b2e2,0
Samsung Sharp Sans,Samsung Sharp Sans\samsungsharpsans @i_font (1).otf,+Mixed Fonts\samsung sharp sans-font family\@i_font samsung sharp sans-font family\samsungsharpsans @i_font (1).otf,025e1b8aef83739daf18d3553756d96e416c09e1ba010709486c2b6080a92033,0
rokh,rokh\Rokh-Bold.woff,_downloads\rokh\Rokh-Bold.woff,02638a212f993eabfcd5307f02b5c55d91650d3c6ac6d322f4c13de15e8bdd85,3
SD-Studio,SD-Studio\SD-Studio-Bold.otf,Fonts\Studio v1.0\SD-Studio-Bold.otf,026428040c84a9fa6d5ed28a7e8bb00f126dee5d11b32347419723af7b7cadf6,2
Noora,Noora\Noora Non-En 06 Black.ttf,Fonts\Noora\Noora Non English (Non-En)\Noora Non-En 06 Black.ttf,02788c49f71a88da5eaeedee91c44ae5a496c4da8f54c6db9a2442f03c29f6ea,0
Woff2,Woff2\IRANSansXFaNum-BlackD4.woff2,_downloads\IranSansX Pro\IranSansX Pro\Dot4\Farsi numerals\Webfonts\fonts\Woff2\IRANSansXFaNum-BlackD4.woff2,02789c160af76260133fd368d25d5ba5a951c63957870e2b37a686a9eda83f81,0
DAMOONFANUM,DAMOONFANUM\DAMOONFANUM-Medium.ttf,_downloads\damoonfanum\DAMOONFANUM-Medium.ttf,027aa05771de916f3c0ec6dcccf75ef5ec000dbfacd29751047949df851273f2,1
MRT_Bomba,MRT_Bomba\Bomba_MRT.TTF,384.Font.Farsi\Bomba_MRT.TTF,027d4e9bbad8cf10557518745d5c296db27b86ee66a5951ec39d410fe47c4c6d,0
Aqiq_Bold,Aqiq_Bold\aghigh bold.ttf,+Unsorted\VIP FONT-@Apkclub\All font\aghigh bold.ttf,0284726d8d7d93c95660711663d3343422db8333c71b09b84b56545fe1d4f05b,3
B Sepideh,B Sepideh\BSepideh.ttf,500.Font.Collection\BSepideh.ttf,028afd44d4f737f59749fcddd488875f3bf619e23b8cf2016fc8ac1f73482767,0
NPINemone,NPINemone\NPINemoneBoldIranic.ttf,500.Font.Collection\NPINemoneBoldIranic.ttf,02c200bdad65a1a1569da0cf9d840f72daec615ccf028ccb2db55be8a73cb7f1,0
fonts,fonts\Ebtekar.woff,+Unsorted\VIP FONT-@Apkclub\Categuries\FontIran.com\Ebtekar\fonts\Ebtekar.woff,02c2da2af0a4edb14d9b4b4fe8718086919d3666b53a98d91f9ad5d2340bab8e,0
farhangnoen,farhangnoen\FarhangNoEn-Black.woff,_downloads\farhangnoen\FarhangNoEn-Black.woff,02c5f10cf8155d69c54ea66e73fe7f095e1d643984fd28123b6700815af3b2f1,2
dana,dana\dana-extralightitalic.woff,_downloads\dana\dana-extralightitalic.woff,02ca1df5a308fe7bb212ba991f2534aee02de315a7b0f74771747712a38fad25,2
kalamehweb-noen,kalamehweb-noen\KalamehWeb(NoEn)-ExtraLight.woff,_downloads\kalamehweb-noen\KalamehWeb(NoEn)-ExtraLight.woff,02cac5a8f5f4fbb7ef3174d893b189615ed7e4ec80c3dcf33bc09d5ef0d625af,2
kalamehweb,kalamehweb\KalamehWeb-Light.woff2,_downloads\kalamehweb\KalamehWeb-Light.woff2,02cb4571b3ef13903d5cb55536b070a3193ea227c1a00db47039a60b57e95ee5,2
pinar-ds2-fd,pinar-ds2-fd\Pinar-DS2-FD-SemiBold.woff2,_downloads\pinar-ds2-fd\Pinar-DS2-FD-SemiBold.woff2,02d17c4eefacc314ccea01a3d52390c871c722ecf960cf8f8a7f6601cbf15084,2
tahamtan,tahamtan\Tahamtan.woff,_downloads\tahamtan\Tahamtan.woff,02d190f0ef294ae7f72cd386ad439c55de467f9f9eb71be6163b6cbf5c10c479,1
Dorna,Dorna\Dorna Bold.ttf,_downloads\dorna\Dorna Bold.ttf,02d2470cb00eca5c1bfcbad7e907e817a14328817f2a0c5a9210b168ac6e1205,1
Anjoman,Anjoman\Anjoman-SemiBold.ttf,+Unsorted\VIP FONT-@Apkclub\All font\Anjoman-SemiBold.ttf,02d9556681513c55f043a31f9139bba844e90cfa4c14158bd9bce49bc903edb0,1
FP_JOGHD,FP_JOGHD\Joghd.ttf,Fonts\Joghd\Joghd.ttf,02de5c113241e5eda5e91b446cf4241ef7557bd1106019ac3db6142ad4ccee22,4
eot,eot\FarhangFaNum-RegularSharp.eot,NEW\Farhang-@Mim_Font\FaNum\Farhang Sharp\Webfonts\fonts\eot\FarhangFaNum-RegularSharp.eot,02dfbadb3d0584e0c7b9a68b377de4e656d61469f3ebc1a1c244515b5da3a3a9,3
Kalameh(NoEn),Kalameh(NoEn)\Kalameh(NoEn)-SemiBold.ttf,_downloads\kalameh-noen\Kalameh(NoEn)-SemiBold.ttf,02e04f58232bd2f0a3905e06818517202fa3be6d27e9781f2b6387ea14a238da,2
woff2,woff2\Farhang-BlackSharp.woff2,NEW\Farhang-@Mim_Font\Farhang Sharp\Webfonts\fonts\woff2\Farhang-BlackSharp.woff2,02e62f87f207a315f06403a653a09d3a7d45dfb04b354e7c29a557c7f8428153,3
fonts,fonts\DimaEsfand.woff,+Unsorted\VIP FONT-@Apkclub\Categuries\Dima\DimaEsfand\fonts\DimaEsfand.woff,02e9bd1242f0b684835d296c5dd30e20d6de0f023d933027a5bd277a8c3a679e,0
Yekan Bakh FaNum,Yekan Bakh FaNum\YekanBakhFaNum-Black.ttf,_downloads\YekanBakh 2 Pro\YekanBakh 2 Pro\Yekan Bakh FaNum\TTF\YekanBakhFaNum-Black.ttf,02f341e3a2be6b0a43359c725e7f442c93320c56c25533f55bcea1fe0e7954cf,0
03- Eot,03- Eot\Anjoman-NoEn-HeavyItalic.eot,Fonts\Anjoman_Pro\03 - Anjoman Non English\03- Eot\Anjoman-NoEn-HeavyItalic.eot,02f6b28ae62d7602a431834e2ed048724f9e5c62374bb9aff518ecbeb0f46498,1
Dibaj FaNum,Dibaj FaNum\Dibaj FaNum Regular.ttf,+Unsorted\Dibaj\Dibaj\Farsi-Num\ttf\Dibaj FaNum Regular.ttf,02fb97ef5f2bff365ca8c0066cf91ba118e8fd250b68117ce0f3efc6ca613987,0
on,on\OnNormal.woff2,_downloads\on\OnNormal.woff2,03024f76603c347bb1a5fadd6124e0826da97d733f78be7b9bda9bc71d62abe2,2
fonts,fonts\aghigh bold.woff,+Unsorted\VIP FONT-@Apkclub\Categuries\MaryamSoft.com\aghigh bold\fonts\aghigh bold.woff,0308b3d058fcc8af61533ca373a93e810da4825c6c6ce4ecebeb836e53650105,0
01- Woff,01- Woff\Anjoman-CondensedBoldItalic.woff,Fonts\Anjoman_Pro\01 - Anjoman Font Family\05- Webfonts\01- Woff\Anjoman-CondensedBoldItalic.woff,03172713d2d82d6758fefc1d66b64e9ad6ea33614d93ba4c94f21dd4ebef2c70,1
IRANSansXVF,IRANSansXVF\IRANSansXVF.ttf,_downloads\IranSansX Pro\IranSansX Pro\Variable\IRANSansXVF.ttf,032d3ab20158ce7213e9018197c150000270d96a83e84db68911d71bdbe47240,0
ariaweb,ariaweb\AriaWeb-Light.woff,_downloads\ariaweb\AriaWeb-Light.woff,03306007dc88ff95c675f226d9b483f3162fa21b9df78bae9d19d12cf6a8c15d,1
ravi,ravi\Ravi Bold.woff,_downloads\ravi\Ravi Bold.woff,0339e274fe0b0328233e7588877d89fe5ef7f61b4cd4d8f01b809c979f2c6016,1
01- Woff,01- Woff\Anjoman-CondensedSuperHeavyItalic.woff,Fonts\Anjoman_Pro\01 - Anjoman Font Family\05- Webfonts\01- Woff\Anjoman-CondensedSuperHeavyItalic.woff,034e5d4a27e5062762338a5f68a92a2544655331457f404a884e117a75be8bed,1
FastIDAR,FastIDAR\FastIDAR.ttf,Fonts\FastIDAR\FastIDAR.ttf,03523b993e42d55a2c5ec4bd6462fa021268ddebe1c93169e4f47fbf91249cda,0
dugas,dugas\dugas-regular.ttf,_downloads\Fonts-master\dugas-regular.ttf,035afdea187db68f204e174a99619cc42c0db2c03859195740389020829aa9ee,0
Mj_Beirut Lt X3,Mj_Beirut Lt X3\Mj_Beirut Lt X3.ttf,500.Font.Collection\Mj_Beirut Lt X3.ttf,035b1049a21f28954f29aea7497f9de85e8137aabe6ffa4d515f6ea06d26d142,0
Estedad,Estedad\Estedad-ExtraBold.ttf,_downloads\estedad\Estedad-ExtraBold.ttf,035c6686dd3062e8e3805c215dd74b3a561a84da78d17d78b2ba8a96b097a5fb,1
Aria[NoEng],Aria[NoEng]\AriaNoEng-Normal.otf,_downloads\aria-noeng\AriaNoEng-Normal.otf,035e28509c2299abd8b0dc6eb00fc377470eb8216d8125ac29c8d2999ec2783e,1
Damavand,Damavand\Damavand.otf,Fonts\Damavand\Source 1\Damavand.otf,0360cd96e79284411bd1c48cdddf6d025233a04853e9c127196fa6f447b4fcb3,0
dana-noen,dana-noen\dana-noen-blackitalic.woff2,_downloads\dana-noen\dana-noen-blackitalic.woff2,0374e3ca00c8e6acf137902896e3b641dbdffa2798c5f2210ba32aefd02e4843,2
FarhangFaNum,FarhangFaNum\FarhangFaNum-Medium.ttf,_downloads\farhangfanum\FarhangFaNum-Medium.ttf,038bfff570a3fa455d719c517af6aa9c4a7b6fc0d71184586d59a2cdc2541d09,4
Anjoman,Anjoman\Anjoman-LightItalic.ttf,_downloads\anjoman\Anjoman-LightItalic.ttf,039148a3c92a99e424d2556eb898ec35d3a93aa2df28adfaed8ea8a701c5090a,2
Mj_Dinar One Medium,Mj_Dinar One Medium\Mj_Dinar One Medium @FontsYab.ttf,+Mixed Fonts\MB_dinar one\Mj_Dinar One Medium @FontsYab.ttf,039573de427f9b711a388fd0e1d6aa5b0f59418966733c5da5d3428715b00897,0
IRANSansWeb(NoEn),IRANSansWeb(NoEn)\IRANSansWeb(NoEn)_Light.ttf,_downloads\iransansweb-noen\IRANSansWeb(NoEn)_Light.ttf,039a861a32ebfb4dff3152637d8ddbb02f6ab764b79cc1ed00140f6629aa01e7,2
MRT_Adab,MRT_Adab\Adab_MRT.ttf,384.Font.Farsi\Adab_MRT.ttf,03a74ed06035acfc0b5cd4dfe2a1dfdfc8ebf931fa24070b4136264e531b8816,0
Diba,Diba\Diba.otf,+Unsorted\VIP FONT-@Apkclub\Categuries\Other\Diba\fonts\Diba.otf,03ba466f7b61646f8ae2bab1a9992a99508da9e7b89a118682950daf2161f81d,0
iransans-onlynumeral,iransans-onlynumeral\IRANSansOnlyNumeral_Light.woff,_downloads\iransans-onlynumeral\IRANSansOnlyNumeral_Light.woff,03d75b9c661712406c97189f1c352872f5f7688b6111f7c1506e250fe21bfd14,1
woff2,woff2\Pinar-DS3-Black.woff2,Fonts\Pinar Pro\Statics\woff2\Pinar-DS3-Black.woff2,03daf4c1d90c899a98965c3128e78cc529e79109bd8a96d4a4f852a99bddeee0,1
Arshid,Arshid\arshid.otf,Fonts\Arshid\arshid.otf,03edd38e2fcb8b61a7a97eb46c44fac89a6e7587d1590c496007b90df6b38407,0
Woff2,Woff2\IRANSansXFaNum-DemiBoldD4.woff2,_downloads\IranSansX Pro\IranSansX Pro\Dot4\Farsi numerals\Webfonts\fonts\Woff2\IRANSansXFaNum-DemiBoldD4.woff2,042a64db9c4868b78ede068b2022a5935aee2e8dfc51e50668ce5501796d94ca,0
Mj_Promoter,Mj_Promoter\Mj_Promoter.ttf,500.Font.Collection\Mj_Promoter.ttf,042d15b62e060c2bb96ba752fcda93719ef6feb47c429a5fc8937ec279e6e050,0
Reckless Standard M-TRIAL,Reckless Standard M-TRIAL\RecklessStandardM-TRIAL-Book.otf,_downloads\reckless-font-family\RecklessStandardM-TRIAL-Book.otf,0437b8fb2224f009687425a147dd223165943b4f7ddb21d93c81d011e5e242c5,0
on,on\OnMedium.woff,_downloads\on\OnMedium.woff,0438675ec9b4dc727db02216fd23ff272de3baa42478ed6f244a78d930a60f2a,2
fonts,fonts\Ray-ExtraBold.eot,+Unsorted\VIP FONT-@Apkclub\Categuries\MaryamSoft.com\Ray-ExtraBold\fonts\Ray-ExtraBold.eot,043c1cbc9d37a82623c0e0ade75e40b6580fabd1c07234c8d402309d42816185,0
RokhFaNum,RokhFaNum\RokhFaNum-Black.otf,_downloads\rokhfanum\RokhFaNum-Black.otf,04499ae723f7560d81aeb675be252cfc4e258c18b0fe3bd47f55ade1f5a6d2f8,2
iransanswebnoen,iransanswebnoen\IRANSansWeb(NoEn)_Medium.woff,_downloads\iransanswebnoen\IRANSansWeb(NoEn)_Medium.woff,044a83847a4197f64e6cc042175867e0cce1c38b21dfb31c7fb22823e186027c,3
motahareh,motahareh\motaharehRegular(1).otf,+Unsorted\motaharehRegular(1).otf,044fdaf9b978ef249ac20f7cf6eca7583be3605369330c34ddb2d46831b8b919,0
NPIDivani Outline,NPIDivani Outline\NPIDivani Outline.ttf,500.Font.Collection\NPIDivani Outline.ttf,0454a9d658f62910f1e2f4e8d08f993a1b1869b2104da257304ff87b48b673d1,0
03- Eot,03- Eot\Anjoman-ThinItalic.eot,Fonts\Anjoman_Pro\01 - Anjoman Font Family\05- Webfonts\03- Eot\Anjoman-ThinItalic.eot,045dfee44070e300d5f544603a112eb43c6626fc7bc18d941fc05c7668890fd4,1
KONE Information,KONE Information\KONE Information Bold.ttf,Fonts\KONE\KONE Information Bold.ttf,045e7ae5ab179bc446811ff3170a29ef226e185eff9b97fa089a8c2073245bcc,0
WOFF,WOFF\HS Ishraq Bold.woff,+Unsorted\WorkSpace\Eshraq Font\WOFF\HS Ishraq Bold.woff,0461747e7ca4d7e96b637298c7867a08af21562d2b3e59b07f54811ba1c78e97,0
Hagrid Text,Hagrid Text\HagridText-Italic.otf,_downloads\hagrid-text\HagridText-Italic.otf,0474b67ba52af09064559e5c678546aa6509548b6edefd481b22771abccb8386,1
dana-fanum,dana-fanum\dana-fanum-demibold.woff,_downloads\dana-fanum\dana-fanum-demibold.woff,04752482657ead064ff6097627d942d94e7b5f1b659028564c8892aa0809e351,2
